title, genres, year, rating
Her,Drama|Romance|Sci-Fi,2013,4
Die Another Day,Action|Adventure|Thriller,2002,1
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,2.5
Sweet Sixteen,Drama,2002,4
Futurama: The Beast with a Billion Backs,Action|Animation|Comedy|Romance|Sci-Fi,2008,2.5
Megamind,Action|Animation|Children|Comedy|Sci-Fi|IMAX,2010,4
12 Years a Slave,Drama,2013,4
Shipping News,Drama,2001,4
The Hunger Games: Catching Fire,Action|Adventure|Sci-Fi|IMAX,2013,3
Lilya 4-Ever (Lilja 4-ever),Crime|Drama,2002,5
Wolf of Wall Street,Comedy|Crime|Drama,2013,4
Spring,Drama,2003,4
Time of the Wolf,Drama,2003,3.5
Black Hawk Down,Action|Drama|War,2001,3
Samaritan Girl (Samaria),Drama,2004,3.5
Insomnia,Action|Crime|Drama|Mystery|Thriller,2002,4
Don't Come Knocking,Drama|Western,2005,3
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,4
Bow,Drama|Romance,2005,3.5
Focus,Drama,2001,2
Bridget Jones's Diary,Comedy|Drama|Romance,2001,4
Iris,Drama,2001,3
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,4
Spider-Man 2,Action|Adventure|Sci-Fi|IMAX,2004,3
No Man's Land,Drama|War,2001,4
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,2005,3.5
Deep End,Drama,2001,3
And Your Mother Too (Y tu mamá también),Drama|Romance,2001,4
Hitchhiker's Guide to the Galaxy,Adventure|Comedy|Sci-Fi,2005,2.5
Sweet Home Alabama,Comedy|Romance,2002,1.5
Troy,Action|Adventure|Drama|War,2004,3
Caramel (Sukkar banat),Comedy,2007,3.5
Watchmen,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,2009,4
Help,Drama,2011,3
Curious Case of Benjamin Button,Drama|Fantasy|Mystery|Romance,2008,3
Moonrise Kingdom,Comedy|Drama|Romance,2012,4
X-Men: First Class,Action|Adventure|Sci-Fi|Thriller|War,2011,3
Edge of Tomorrow,Action|Sci-Fi|IMAX,2014,4
Art of Negative Thinking,Comedy|Drama,2006,3
Prometheus,Action|Horror|Sci-Fi|IMAX,2012,4
Shrek 2,Adventure|Animation|Children|Comedy|Musical|Romance,2004,4
Fall,Adventure|Drama|Fantasy,2006,3
Cinderella Man,Drama|Romance,2005,3
Cat's Meow,Drama|Thriller,2002,3
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Sci-Fi,2005,3
Moulin Rouge,Drama|Musical|Romance,2001,5
Ray,Drama,2004,2
Mr. & Mrs. Smith,Action|Adventure|Comedy|Romance,2005,3
Time (Shi gan),Drama|Romance,2006,3.5
Swordfish,Action|Crime|Drama,2001,3
Evolution,Comedy|Sci-Fi,2001,3
Son's Room,Drama,2001,4
Lara Croft: Tomb Raider,Action|Adventure,2001,2.5
Storytelling,Comedy|Drama,2001,3
Score,Action|Drama,2001,3
Grand Budapest Hotel,Comedy|Drama,2014,4
Taking Sides,Drama,2001,3
Station Agent,Comedy|Drama,2003,3
Watchmen,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,2009,3.5
Gangs of New York,Crime|Drama,2002,2
Enemy,Mystery|Thriller,2013,4
Somers Town,Drama,2008,3
Import/Export,Drama,2007,4
Cats & Dogs,Children|Comedy,2001,1
We Were Soldiers,Action|Drama|War,2002,3
Silence,Drama|Thriller,2016,3
Duchess,Drama|Romance,2008,4
Up,Adventure|Animation|Children|Drama,2009,1
K-19: The Widowmaker,Action|Adventure|Drama|Thriller,2002,3
Moon,Drama|Mystery|Sci-Fi|Thriller,2009,4
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010,4
Ocean's Eleven,Crime|Thriller,2001,4
Ice Age,Adventure|Animation|Children|Comedy,2002,1.5
Frailty,Crime|Drama|Thriller,2001,2.5
Resident Evil,Action|Horror|Sci-Fi|Thriller,2002,3.5
Wallace and Gromit in 'A Matter of Loaf and Death',Animation|Comedy,2008,3
Che: Part Two,Drama|War,2008,3
I've Loved You So Long (Il y a longtemps que je t'aime),Drama|Mystery,2008,4
Wendy and Lucy,Drama,2008,3
Mesrine: Killer Instinct (L'instinct de mort),Action|Crime|Drama|Thriller,2008,4
Escapist,Thriller,2008,3
Funny People,Comedy|Drama,2009,4
Divo,Drama,2008,4
Duplicity,Crime|Romance|Thriller,2009,3
Revanche,Crime|Drama|Romance,2008,3
Incendiary,Drama|Mystery|Romance|Thriller,2008,2
Tokyo Sonata,Drama,2008,3
Execution of P,Crime|Thriller,2009,4
September Issue,Documentary,2009,4
Private Lives of Pippa Lee,Drama,2009,4
Single Man,Drama,2009,4
Wrong Turn at Tahoe,Action|Crime|Thriller,2009,2
Lebanon,Drama|War,2009,4
Four Lions,Comedy|Drama,2010,3
Tony Manero,Crime|Drama,2008,4
American,Drama|Thriller,2010,3
Wall Street: Money Never Sleeps,Drama,2010,3
Of Gods and Men (Des hommes et des dieux),Drama,2010,4
Lake Tahoe,Drama,2008,2
Carlos,Crime|Drama|Thriller,2010,4
Lincoln Lawyer,Crime|Drama|Thriller,2011,3
Essential Killing,Thriller|War,2010,4
Meek's Cutoff,Western,2010,4
Outside the Law (Hors-la-loi),Crime|Drama|War,2010,4
Debt,Drama|Thriller,2011,4
Future,Drama,2011,4
This Must Be the Place,Crime|Drama|Thriller,2011,3
Shame,Drama,2011,4
Machine Gun Preacher,Action|Crime,2011,2
Miss Bala,Action|Adventure|Drama|Thriller,2011,4
Outside Satan (Hors Satan),Drama,2011,2
City of God (Cidade de Deus),Action|Adventure|Crime|Drama|Thriller,2002,2.5
Touching the Void,Adventure|Documentary,2003,4
Bruce Almighty,Comedy|Drama|Fantasy|Romance,2003,2.5
Batman: Gotham Knight,Action|Animation|Crime,2008,2.5
Hulk,Action|Adventure|Sci-Fi,2003,1
Interstellar,Sci-Fi|IMAX,2014,5
Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Comedy|Fantasy,2003,3.5
Kill Bill: Vol. 1,Action|Crime|Thriller,2003,2
Ring,Horror|Mystery|Thriller,2002,2.5
Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2001,3
Last Orders,Drama,2001,3
Breaking and Entering,Drama,2006,3
Piano Teacher,Drama,2001,3
Final Fantasy: The Spirits Within,Adventure|Animation|Fantasy|Sci-Fi,2001,3
Jurassic Park III,Action|Adventure|Sci-Fi|Thriller,2001,3
Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2001,2
Rush Hour 2,Action|Comedy,2001,2
Jay and Silent Bob Strike Back,Adventure|Comedy,2001,2.5
Training Day,Crime|Drama|Thriller,2001,4
K-PAX,Drama|Fantasy|Mystery|Sci-Fi,2001,3
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001,4.5
Monsters,Adventure|Animation|Children|Comedy|Fantasy,2001,4.5
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Adventure|Children|Fantasy,2001,4.5
Spy Game,Action|Crime|Drama|Thriller,2001,3
Ocean's Eleven,Crime|Thriller,2001,4
Royal Tenenbaums,Comedy|Drama,2001,4.5
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,5
Beautiful Mind,Drama|Romance,2001,4
Black Hawk Down,Action|Drama|War,2001,4
Spider-Man,Action|Adventure|Sci-Fi|Thriller,2002,4.5
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Sci-Fi|IMAX,2002,2
Insomnia,Action|Crime|Drama|Mystery|Thriller,2002,4
Harsh Times,Action|Crime|Drama,2006,4
Bourne Identity,Action|Mystery|Thriller,2002,4
Lake of Fire,Documentary,2006,2
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,4.5
Iron Man 3,Action|Sci-Fi|Thriller|IMAX,2013,4
Road to Perdition,Crime|Drama,2002,4
Star Trek Into Darkness,Action|Adventure|Sci-Fi|IMAX,2013,3
Gone Girl,Drama|Thriller,2014,3
Ex Machina,Drama|Sci-Fi|Thriller,2015,4
Austin Powers in Goldmember,Comedy,2002,2.5
Star Wars: Episode VII - The Force Awakens,Action|Adventure|Fantasy|Sci-Fi|IMAX,2015,3
Signs,Horror|Sci-Fi|Thriller,2002,3.5
The Martian,Adventure|Drama|Sci-Fi,2015,4
Harry Potter and the Chamber of Secrets,Adventure|Fantasy,2002,3.5
Room,Drama,2015,4
Batman Begins,Action|Crime|IMAX,2005,4
Memories of Murder (Salinui chueok),Crime|Drama|Mystery|Thriller,2003,1
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,2006,3
Fay Grim,Action|Thriller,2006,2
American Pie 2,Comedy,2001,3
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,4.5
Jay and Silent Bob Strike Back,Adventure|Comedy,2001,3
Big Fish,Drama|Fantasy|Romance,2003,3
Bandits,Comedy|Crime|Romance,2001,2
K-PAX,Drama|Fantasy|Mystery|Sci-Fi,2001,4
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001,4
Predestination,Action|Mystery|Sci-Fi|Thriller,2014,3
The Imitation Game,Drama|Thriller|War,2014,3
Wild Tales,Comedy|Drama|Thriller,2014,3
Inside Out,Adventure|Animation|Children|Comedy|Drama|Fantasy,2015,4
The Revenant,Adventure|Drama,2015,4
Chicago,Comedy|Crime|Drama|Musical,2002,3
Infernal Affairs (Mou gaan dou),Crime|Drama|Thriller,2002,3
Haywire,Action|Thriller,2011,3
I'll Sleep When I'm Dead,Crime|Drama,2003,3
Return,Drama,2003,3
Hidden (a.k.a. Cache) (Caché),Drama|Mystery|Thriller,2005,4
Squid and the Whale,Comedy|Drama,2005,4
Savages,Comedy|Drama,2007,4
White Ribbon,Drama|Mystery,2009,4
Cyrus,Comedy|Drama|Romance,2010,4
Winter's Bone,Drama|Thriller,2010,4
Illusionist,Animation,2010,4
Fair Game,Drama|Thriller,2010,3
Bourne Identity,Action|Mystery|Thriller,2002,3
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,4
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Action|Comedy|Sci-Fi,2002,2.5
Reign of Fire,Action|Adventure|Fantasy,2002,1.5
Road to Perdition,Crime|Drama,2002,3
Signs,Horror|Sci-Fi|Thriller,2002,3
Ring,Horror|Mystery|Thriller,2002,4
Star Trek,Action|Adventure|Sci-Fi|IMAX,2009,2.5
Equilibrium,Action|Sci-Fi|Thriller,2002,3
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,2
Village,Drama|Mystery|Thriller,2004,2.5
City of God (Cidade de Deus),Action|Adventure|Crime|Drama|Thriller,2002,3.5
Recruit,Action|Thriller,2003,3
Phone Booth,Drama|Thriller,2002,2.5
Slumdog Millionaire,Crime|Drama|Romance,2008,3
Matrix Reloaded,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,2.5
Social Network,Drama,2010,3.5
Bruce Almighty,Comedy|Drama|Fantasy|Romance,2003,3
Spun,Comedy|Crime|Drama,2001,3
Vanilla Sky,Mystery|Romance|Sci-Fi|Thriller,2001,2
Blood Work,Crime|Drama|Mystery|Thriller,2002,2
Nocturnal Animals,Drama|Thriller,2016,3
24 Hour Party People,Comedy|Drama|Musical,2002,4
Royal Tenenbaums,Comedy|Drama,2001,4
Dreamcatcher,Drama|Horror|Sci-Fi|Thriller,2003,3.5
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,4
Bad Santa,Comedy|Crime,2003,5
Black Swan,Drama|Thriller,2010,4
King's Speech,Drama,2010,3.5
Inglourious Basterds,Action|Drama|War,2009,3
Secret in Their Eyes,Crime|Drama|Mystery|Romance|Thriller,2009,3.5
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010,4
Black Swan,Drama|Thriller,2010,4.5
Dark Knight Rises,Action|Adventure|Crime|IMAX,2012,3.5
Life of Pi,Adventure|Drama|IMAX,2012,3.5
Now You See Me,Crime|Mystery|Thriller,2013,3
Interstellar,Sci-Fi|IMAX,2014,3.5
Mystic River,Crime|Drama|Mystery,2003,3
Dogville,Drama|Mystery|Thriller,2003,3.5
Lives of Others,Drama|Romance|Thriller,2006,3.5
Zodiac,Crime|Drama|Thriller,2007,4
District 9,Mystery|Sci-Fi|Thriller,2009,3.5
Looper,Action|Crime|Sci-Fi,2012,3
Hangover,Comedy|Crime,2009,2
True Grit,Western,2010,4
Another Year,Drama,2010,3
Triplets of Belleville,Animation|Comedy|Fantasy,2003,4
City of Ember,Adventure|Children|Sci-Fi,2008,2
Monsters,Adventure|Animation|Children|Comedy|Fantasy,2001,3
Day the Earth Stood Still,Drama|Sci-Fi|Thriller|IMAX,2008,3
Heist,Crime|Drama,2001,3
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,2.5
Climates (Iklimler),Drama,2006,3
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004,4
Descent,Adventure|Drama|Horror|Thriller,2005,4
Hitman,Action|Crime|Thriller,2007,2
I Am Legend,Action|Horror|Sci-Fi|Thriller|IMAX,2007,4
Hours,Drama|Romance,2002,5
Children of Men,Action|Adventure|Drama|Sci-Fi|Thriller,2006,4.5
Happening,Drama|Sci-Fi|Thriller,2008,2
House of Flying Daggers (Shi mian mai fu),Action|Drama|Romance,2004,3
Objective,Horror|Sci-Fi|Thriller|War,2008,4
Die Another Day,Action|Adventure|Thriller,2002,2.5
Skyline,Sci-Fi|Thriller,2010,2
R.I.P.D.,Action|Comedy|Fantasy,2013,2
Ghost World,Comedy|Drama,2001,4
Napoleon Dynamite,Comedy,2004,3
Terminator Genisys,Action|Adventure|Sci-Fi|Thriller,2015,3
Waking Life,Animation|Drama|Fantasy,2001,4
Man Who Wasn't There,Crime|Drama,2001,3
Let the Right One In (Låt den rätte komma in),Drama|Fantasy|Horror|Romance,2008,4
300,Action|Fantasy|War|IMAX,2007,3
Brick,Crime|Drama|Film-Noir|Mystery,2005,2
Righteous Kill,Crime|Mystery|Thriller,2008,2.5
Rescue Dawn,Action|Adventure|Drama|War,2006,4
Three Monkeys (Üç maymun),Drama,2008,3
Troy,Action|Adventure|Drama|War,2004,1.5
Takva: A Man's Fear of God,Drama,2006,4
Shallow Hal,Comedy|Fantasy|Romance,2001,3
Catch Me If You Can,Crime|Drama,2002,3
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Adventure|Children|Fantasy,2001,3
Matrix Reloaded,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,2
Mystic River,Crime|Drama|Mystery,2003,4
Jackass: The Movie,Action|Comedy|Documentary,2002,3.5
Hunter,Drama,2011,3
Win Win,Comedy|Drama,2011,3
Superman Returns,Action|Adventure|Sci-Fi|IMAX,2006,2.5
Scanner Darkly,Animation|Drama|Mystery|Sci-Fi|Thriller,2006,3
Da Vinci Code,Drama|Mystery|Thriller,2006,2.5
Babel,Drama|Thriller,2006,3.5
Illusionist,Drama|Fantasy|Mystery|Romance,2006,3
Let the Right One In (Låt den rätte komma in),Drama|Fantasy|Horror|Romance,2008,2.5
Fountain,Drama|Fantasy|Romance,2006,3
Dogville,Drama|Mystery|Thriller,2003,4
Girl with the Dragon Tattoo,Drama|Thriller,2011,4
Italian Job,Action|Crime,2003,1
Melvin Goes to Dinner,Comedy|Drama,2003,4
Beautiful Mind,Drama|Romance,2001,4
Man on Fire,Action|Crime|Drama|Mystery|Thriller,2004,3
Everyday,Drama,2012,3
Tokyo Godfathers,Adventure|Animation|Drama,2003,4
Embrace of the Serpent,Adventure|Drama,2016,4
Mostly Martha (Bella Martha),Comedy|Drama|Romance,2001,3
Hunt for the Wilderpeople,Adventure|Comedy,2016,3
Black Hawk Down,Action|Drama|War,2001,4
Village,Drama|Mystery|Thriller,2004,3.5
Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Comedy|Fantasy,2003,0.5
Avatar,Action|Adventure|Sci-Fi|IMAX,2009,3
Kill Bill: Vol. 1,Action|Crime|Thriller,2003,1
Easy A,Comedy|Romance,2010,2
Matrix Revolutions,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,2
Nymphomaniac: Volume I,Drama,2013,2.5
Nymphomaniac: Volume II,Drama|Mystery,2013,2.5
Turin Horse,Drama,2011,2
Birdman: Or (The Unexpected Virtue of Ignorance),Comedy|Drama,2014,3.5
Bullhead (Rundskop),Crime|Drama,2011,4
One,Action|Sci-Fi|Thriller,2001,1
Dogville,Drama|Mystery|Thriller,2003,5
Terminator 3: Rise of the Machines,Action|Adventure|Sci-Fi,2003,2.5
Curious Case of Benjamin Button,Drama|Fantasy|Mystery|Romance,2008,3
Ponyo (Gake no ue no Ponyo),Adventure|Animation|Children|Fantasy,2008,3.5
Ocean's Eleven,Crime|Thriller,2001,4
Robin Hood,Action|Adventure|Drama|Romance|War,2010,3
Vanilla Sky,Mystery|Romance|Sci-Fi|Thriller,2001,4
Royal Tenenbaums,Comedy|Drama,2001,3
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,2
Beautiful Mind,Drama|Romance,2001,3
Black Hawk Down,Action|Drama|War,2001,3
Ice Age,Adventure|Animation|Children|Comedy,2002,3
Shrek 2,Adventure|Animation|Children|Comedy|Musical|Romance,2004,2.5
Blade II,Action|Horror|Thriller,2002,2
My Big Fat Greek Wedding,Comedy|Romance,2002,3
28 Weeks Later,Horror|Sci-Fi|Thriller,2007,3
Heartbreak Kid,Comedy|Drama|Romance,2007,3
Changeling,Crime|Drama|Mystery,2008,2
Frailty,Crime|Drama|Thriller,2001,3
Milk,Drama,2008,3.5
About Schmidt,Comedy|Drama,2002,4.5
Spectre,Action|Adventure|Crime,2015,3
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,4
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,5
From Hell,Crime|Horror|Mystery|Thriller,2001,2
25th Hour,Crime|Drama,2002,4
Adaptation,Comedy|Drama|Romance,2002,3
Gangs of New York,Crime|Drama,2002,4
28 Days Later,Action|Horror|Sci-Fi,2002,3
Boy in the Striped Pajamas,Drama|War,2008,3
Dr. Horrible's Sing-Along Blog,Comedy|Drama|Musical|Sci-Fi,2008,1
Diving Bell and the Butterfly,Drama,2007,4
Funny Games U.S.,Drama|Thriller,2007,4
Transformers,Action|Sci-Fi|Thriller|IMAX,2007,3
Spider-Man,Action|Adventure|Sci-Fi|Thriller,2002,2
Bourne Ultimatum,Action|Crime|Thriller,2007,3.5
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Sci-Fi|IMAX,2002,1
Insomnia,Action|Crime|Drama|Mystery|Thriller,2002,2.5
Fahrenheit 9/11,Documentary,2004,2
Coraline,Animation|Fantasy|Thriller,2009,3
Spider-Man 2,Action|Adventure|Sci-Fi|IMAX,2004,2
Futurama: Into the Wild Green Yonder,Action|Animation|Comedy|Sci-Fi,2009,2
Kung Fu Panda: Secrets of the Furious Five,Action|Animation|Children|Comedy,2008,3
Transformers: Revenge of the Fallen,Action|Adventure|Sci-Fi|IMAX,2009,1.5
Watchmen: Tales of the Black Freighter,Action|Adventure|Animation|Horror,2009,3
Cell 211 (Celda 211),Action|Drama,2009,4.5
Matrix Revolutions,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,1.5
Serenity,Action|Adventure|Sci-Fi,2005,2
Science of Sleep,Comedy|Drama|Fantasy|Romance,2006,4
Sweet Home Alabama,Comedy|Romance,2002,1
Wanderlust,Comedy,2012,2
Solaris,Drama|Romance|Sci-Fi,2002,2.5
Killer Joe,Crime|Thriller,2011,3
Moulin Rouge,Drama|Musical|Romance,2001,1
Serenity,Action|Adventure|Sci-Fi,2005,2
Coriolanus,Drama|Thriller,2011,4
Big Fish,Drama|Fantasy|Romance,2003,3
Syriana,Drama|Thriller,2005,3.5
Gone Girl,Drama|Thriller,2014,4
21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003,3
Apocalypto,Adventure|Drama|Thriller,2006,3.5
2046,Drama|Fantasy|Romance|Sci-Fi,2004,3
The Neon Demon,Drama|Horror|Mystery,2016,3
Toni Erdmann,Drama,2016,4
In Bruges,Comedy|Crime|Drama|Thriller,2008,2.5
Son of the Bride (Hijo de la novia,Comedy|Drama,2001,3
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,2001,3
Hart's War,Drama|War,2002,3
Lucky Number Slevin,Crime|Drama|Mystery,2006,4
28 Days Later,Action|Horror|Sci-Fi,2002,3.5
We Were Soldiers,Action|Drama|War,2002,2
Road,Adventure|Drama|Thriller,2009,3
Transporter,Action|Crime,2002,1
Breach,Drama|Thriller,2007,3
I Am Legend,Action|Horror|Sci-Fi|Thriller|IMAX,2007,3.5
Lilo & Stitch,Adventure|Animation|Children|Sci-Fi,2002,3.5
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,3
Rust and Bone (De rouille et d'os),Drama|Romance,2012,4
Our Children (À perdre la raison),Drama,2012,3
Curious Case of Benjamin Button,Drama|Fantasy|Mystery|Romance,2008,4.5
Syriana,Drama|Thriller,2005,3
Last Samurai,Action|Adventure|Drama|War,2003,2.5
Times and Winds (Bes vakit),Drama,2006,3.5
I,Action|Adventure|Sci-Fi|Thriller,2004,3
Bourne Identity,Action|Mystery|Thriller,2002,3
Primer,Drama|Sci-Fi,2004,2.5
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,4.5
Incredibles,Action|Adventure|Animation|Children|Comedy,2004,2
Warlords,Action|Drama|War,2007,3
Pianist,Drama|War,2002,4
Anvil! The Story of Anvil,Documentary|Musical,2008,3
Pan's Labyrinth (Laberinto del fauno,Drama|Fantasy|Thriller,2006,4
Secretary,Comedy|Drama|Romance,2002,4
Departed,Crime|Drama|Thriller,2006,4
Prestige,Drama|Mystery|Sci-Fi|Thriller,2006,3.5
Red Dragon,Crime|Mystery|Thriller,2002,3
American Splendor,Comedy|Drama,2003,3
8 Mile,Drama,2002,4
Narc,Crime|Drama|Thriller,2002,4
Tape,Drama,2001,5
Super Size Me,Comedy|Documentary|Drama,2004,4
Catch Me If You Can,Crime|Drama,2002,4
I Heart Huckabees,Comedy,2004,2
Life Aquatic with Steve Zissou,Adventure|Comedy|Fantasy,2004,4
Dog Soldiers,Action|Horror,2002,3
Casino Royale,Action|Adventure|Thriller,2006,4
Eastern Promises,Crime|Drama|Thriller,2007,3.5
S. Darko (S. Darko: A Donnie Darko Tale),Crime|Mystery|Sci-Fi|Thriller,2009,4
No Country for Old Men,Crime|Drama,2007,4
Antichrist,Drama|Fantasy,2009,5
Eagle Eye,Action|Crime|Thriller|IMAX,2008,3
Green Zone,Action|Drama|Thriller|War,2010,3
National Treasure,Action|Adventure|Drama|Mystery|Thriller,2004,2
Senna,Documentary,2010,4
Borderland,Crime|Horror|Thriller,2007,3
Big Fish,Drama|Fantasy|Romance,2003,4
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,3
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,5
Lives of Others,Drama|Romance|Thriller,2006,4
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004,4.5
Kill Bill: Vol. 2,Action|Drama|Thriller,2004,3
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Action|Comedy|Sci-Fi,2002,3
Million Dollar Baby,Drama,2004,2
Shrek 2,Adventure|Animation|Children|Comedy|Musical|Romance,2004,1.5
Killing Them Softly,Crime|Drama|Thriller,2012,3
Bay,Horror|Sci-Fi|Thriller,2012,3
Past,Drama|Mystery|Romance,2013,4
Amour,Drama|Romance,2012,4
Broken City,Crime|Drama|Thriller,2013,2
Shadow Dancer,Crime|Drama|Thriller,2012,4
Resident Evil,Action|Horror|Sci-Fi|Thriller,2002,2
East,Drama,2013,3
Snow White (Blancanieves),Drama,2012,4
Lore,Drama|Thriller|War,2012,4
Spider-Man,Action|Adventure|Sci-Fi|Thriller,2002,3
Howl's Moving Castle (Hauru no ugoku shiro),Adventure|Animation|Fantasy|Romance,2004,3.5
Zodiac,Crime|Drama|Thriller,2007,2
8 Women,Comedy|Crime|Musical|Mystery,2002,3
Frost/Nixon,Drama,2008,4
Café Society,Comedy|Drama|Romance,2016,4
District 9,Mystery|Sci-Fi|Thriller,2009,3.5
Cube 2: Hypercube,Horror|Mystery|Sci-Fi,2002,4.5
Anthropoid,War,2016,3
Blue Valentine,Drama|Romance,2010,2
Animatrix,Action|Animation|Drama|Sci-Fi,2003,3
The Hunger Games,Action|Adventure|Drama|Sci-Fi|Thriller,2012,2.5
Cat Returns,Adventure|Animation|Children|Fantasy,2002,3
Sherlock Holmes: A Game of Shadows,Action|Adventure|Comedy|Crime|Mystery|Thriller,2011,1.5
Scanner Darkly,Animation|Drama|Mystery|Sci-Fi|Thriller,2006,4
Nightcrawler,Crime|Drama|Thriller,2014,3
Cabin in the Woods,Comedy|Horror|Sci-Fi|Thriller,2012,1
Phantom of the Opera,Drama|Musical|Romance,2004,3.5
Star Wars: Episode II - Attack of the Clones,Action|Adventure|Sci-Fi|IMAX,2002,3
Welcome to the Punch,Action|Adventure|Crime|Thriller,2013,2
Like Someone In Love,Drama,2012,4
Chronicles of Riddick,Action|Sci-Fi|Thriller,2004,1.5
Dish,Comedy,2001,4
Talk to Her (Hable con Ella),Drama|Romance,2002,3.5
Signs,Horror|Sci-Fi|Thriller,2002,3
Troy,Action|Adventure|Drama|War,2004,2.5
Ring,Horror|Mystery|Thriller,2002,4
Collateral,Action|Crime|Drama|Thriller,2004,3.5
Harry Potter and the Chamber of Secrets,Adventure|Fantasy,2002,3
Old Boy,Mystery|Thriller,2003,3.5
Quiet American,Drama|Thriller|War,2002,3
Catch Me If You Can,Crime|Drama,2002,3
Recruit,Action|Thriller,2003,2.5
Amelie (Fabuleux destin d'Amélie Poulain,Comedy|Romance,2001,5
One Hour Photo,Drama|Thriller,2002,3
Biutiful,Drama,2010,5
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,2005,2
Brüno (Bruno),Comedy,2009,4
There Will Be Blood,Drama|Western,2007,4
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo),Action|Animation|Sci-Fi,2007,4
Man on Fire,Action|Crime|Drama|Mystery|Thriller,2004,3
Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001,4.5
Broken Flowers,Comedy|Drama,2005,3
The Butterfly Effect,Drama|Sci-Fi|Thriller,2004,2.5
Dark Knight,Action|Crime|Drama|IMAX,2008,4
Iron Man,Action|Adventure|Sci-Fi,2008,4
WALL·E,Adventure|Animation|Children|Romance|Sci-Fi,2008,3.5
City of God (Cidade de Deus),Action|Adventure|Crime|Drama|Thriller,2002,4.5
Slumdog Millionaire,Crime|Drama|Romance,2008,3
Inglourious Basterds,Action|Drama|War,2009,3.5
Sherlock Holmes,Action|Crime|Mystery|Thriller,2009,3.5
Fahrenheit 9/11,Documentary,2004,4
Raising Victor Vargas,Comedy|Drama|Romance,2002,4
Spider-Man 2,Action|Adventure|Sci-Fi|IMAX,2004,3
Chronicles of Narnia: The Lion,Adventure|Children|Fantasy,2005,2.5
Lives of Others,Drama|Romance|Thriller,2006,4
2046,Drama|Fantasy|Romance|Sci-Fi,2004,3
District 9,Mystery|Sci-Fi|Thriller,2009,3.5
Cat Returns,Adventure|Animation|Children|Fantasy,2002,3
Superman Returns,Action|Adventure|Sci-Fi|IMAX,2006,2.5
Scanner Darkly,Animation|Drama|Mystery|Sci-Fi|Thriller,2006,4
Da Vinci Code,Drama|Mystery|Thriller,2006,3
Enron: The Smartest Guys in the Room,Documentary,2005,4
Dumplings (Gaau ji),Drama|Horror|Thriller,2004,3
Proposition,Crime|Drama|Western,2005,4
